structure,type,seas_adj,date,value
manu,nom,csa,2016-07-01,30036.8632935003
manu,nom,csa,2016-10-01,30045.5876252294
manu,nom,csa,2017-01-01,30330.4128933145
manu,nom,csa,2017-04-01,30468.2483274425
manu,nom,csa,2017-07-01,30632.6749646039
manu,nom,csa,2017-10-01,31046.1237901297
manu,nom,csa,2018-01-01,31260.4372658045
manu,nom,csa,2018-04-01,31371.7483203774
manu,nom,csa,2018-07-01,31170.9525427716
manu,nom,csa,2018-10-01,31743.1066080702
manu,nom,csa,2019-01-01,32222.1029991228
manu,nom,csa,2019-04-01,32804.2159585414
manu,nom,csa,2019-07-01,33266.4779001434
energy,nom,csa,1990-01-01,2109.96804413663
energy,nom,csa,1990-04-01,2182.70910816525
energy,nom,csa,1990-07-01,2193.60295318588
energy,nom,csa,1990-10-01,2311.58092641066
energy,nom,csa,1991-01-01,2371.72831674738
energy,nom,csa,1991-04-01,2352.40905020626
energy,nom,csa,1991-07-01,2407.89819173223
energy,nom,csa,1991-10-01,2515.21992426115
energy,nom,csa,1992-01-01,2558.29400967168
energy,nom,csa,1992-04-01,2610.26381637911
energy,nom,csa,1992-07-01,2638.48745987445
energy,nom,csa,1992-10-01,2654.62733767368
energy,nom,csa,1993-01-01,2707.5369241571
energy,nom,csa,1993-04-01,2710.5931567342
energy,nom,csa,1993-07-01,2839.54814212938
energy,nom,csa,1993-10-01,3044.85066639436
energy,nom,csa,1994-01-01,3077.37309900496
energy,nom,csa,1994-04-01,3243.06710360541
energy,nom,csa,1994-07-01,3353.86508478631
energy,nom,csa,1994-10-01,3359.09152536325
energy,nom,csa,1995-01-01,3549.10897873888
energy,nom,csa,1995-04-01,3478.76367582752
energy,nom,csa,1995-07-01,3457.26637681998
energy,nom,csa,1995-10-01,3412.9154301106
energy,nom,csa,1996-01-01,3360.65535338372
energy,nom,csa,1996-04-01,3278.00140661044
energy,nom,csa,1996-07-01,3177.96319597235
energy,nom,csa,1996-10-01,3266.57675434815
energy,nom,csa,1997-01-01,3279.71896126414
energy,nom,csa,1997-04-01,3221.43493795829
energy,nom,csa,1997-07-01,3272.82503991445
energy,nom,csa,1997-10-01,3172.01404478066
energy,nom,csa,1998-01-01,3165.81688535102
energy,nom,csa,1998-04-01,3107.83440296881
energy,nom,csa,1998-07-01,3091.87767448754
energy,nom,csa,1998-10-01,3134.70170631633
energy,nom,csa,1999-01-01,3114.69544148404
energy,nom,csa,1999-04-01,3173.0600743334
energy,nom,csa,1999-07-01,3174.17966369436
energy,nom,csa,1999-10-01,3206.03749489407
energy,nom,csa,2000-01-01,3124.65952518519
energy,nom,csa,2000-04-01,3171.24436836785
energy,nom,csa,2000-07-01,3036.58313162277
energy,nom,csa,2000-10-01,3235.87568758681
energy,nom,csa,2001-01-01,3270.2136120723
energy,nom,csa,2001-04-01,3269.30165912819
energy,nom,csa,2001-07-01,3221.09130432748
energy,nom,csa,2001-10-01,3033.61650032488
energy,nom,csa,2002-01-01,2824.9715553608
energy,nom,csa,2002-04-01,2789.07270376242
energy,nom,csa,2002-07-01,2712.48648177516
energy,nom,csa,2002-10-01,2668.96834099701
energy,nom,csa,2003-01-01,2639.5809020106
energy,nom,csa,2003-04-01,2561.03870987035
energy,nom,csa,2003-07-01,2500.99028773348
energy,nom,csa,2003-10-01,2374.6986006812
energy,nom,csa,2004-01-01,2382.34605710457
energy,nom,csa,2004-04-01,2360.26792101717
energy,nom,csa,2004-07-01,2377.96000450301
energy,nom,csa,2004-10-01,2397.19593527231
energy,nom,csa,2005-01-01,2441.51223919488
energy,nom,csa,2005-04-01,2308.89191933924
energy,nom,csa,2005-07-01,2375.49808890146
energy,nom,csa,2005-10-01,2468.65493065456
energy,nom,csa,2006-01-01,2511.95286016315
energy,nom,csa,2006-04-01,2589.50152707108
energy,nom,csa,2006-07-01,2626.50134344442
